#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
NC|KRP||HHN|41.157654|-124.0233|813.0|0.0|180.0|0.0|Guralp-CMG-3ESPC|629194500.0|1.0|M/S|100.0|2016-04-28T17:12:00|2021-08-03T00:00:00
NC|KRP||HHZ|41.157654|-124.0233|813.0|0.0|0.0|-90.0|Guralp-CMG-3ESPC|629194500.0|1.0|M/S|100.0|2016-04-28T17:12:00|2021-08-03T00:00:00
NC|KPR|01|HNE|40.2196|-124.05732|450.0|0.0|90.0|0.0|TITAN,Accelerometer,NANOMETRICS|202863.0|1.0|M/S**2|100.0|2019-05-22T00:00:00|3000-01-01T00:00:00
NC|KPR|01|HNN|40.2196|-124.05732|450.0|0.0|0.0|0.0|TITAN,Accelerometer,NANOMETRICS|202863.0|1.0|M/S**2|100.0|2019-05-22T00:00:00|3000-01-01T00:00:00
NC|KPR|01|HNZ|40.2196|-124.05732|450.0|0.0|0.0|-90.0|TITAN,Accelerometer,NANOMETRICS|202863.0|1.0|M/S**2|100.0|2019-05-22T00:00:00|3000-01-01T00:00:00
NC|KSM|02|EHZ|40.186806|-124.175682|931.0|0.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|398637000.0|10.0|M/S|100.0|2015-10-28T00:00:00|2020-11-05T21:35:00
NP|1023||HNE|40.57607|-124.2637|16.0|0.0|89.0|0.0|Episensor|213892.400974921|1.0|M/S**2|200.0|2017-08-04T18:00:00|3000-01-01T00:00:00
NP|1023|10|HNE|40.57607|-124.2637|16.0|0.0|89.0|0.0|Episensor|213874.006228437|1.0|M/S**2|100.0|2017-08-04T18:00:00|3000-01-01T00:00:00
NP|1023||HNN|40.57607|-124.2637|16.0|0.0|359.0|0.0|Episensor|213892.400974921|1.0|M/S**2|200.0|2017-08-04T18:00:00|3000-01-01T00:00:00
NP|1023|10|HNN|40.57607|-124.2637|16.0|0.0|359.0|0.0|Episensor|213874.006228437|1.0|M/S**2|100.0|2017-08-04T18:00:00|3000-01-01T00:00:00
NP|1023||HNZ|40.57607|-124.2637|16.0|0.0|0.0|-90.0|Episensor|213892.400974921|1.0|M/S**2|200.0|2017-08-04T18:00:00|3000-01-01T00:00:00
NP|1023|10|HNZ|40.57607|-124.2637|16.0|0.0|0.0|-90.0|Episensor|213874.006228437|1.0|M/S**2|100.0|2017-08-04T18:00:00|3000-01-01T00:00:00
NP|1580|01|HNE|40.87772|-124.07738|52.0|0.0|90.0|0.0|Episensor|213892.400974921|1.0|M/S**2|200.0|2015-10-07T18:00:00|3000-01-01T00:00:00
NP|1580|01|HNN|40.87772|-124.07738|52.0|0.0|0.0|0.0|Episensor|213892.400974921|1.0|M/S**2|200.0|2015-10-07T18:00:00|3000-01-01T00:00:00
NP|1580|01|HNZ|40.87772|-124.07738|52.0|0.0|0.0|-90.0|Episensor|213892.400974921|1.0|M/S**2|200.0|2015-10-07T18:00:00|3000-01-01T00:00:00
NP|1581||HNE|40.73501|-124.20763|8.0|0.0|90.0|0.0|Episensor|214748.352|1.0|M/S**2|200.0|2019-04-16T18:00:00|3000-01-01T00:00:00
NP|1581|10|HNE|40.73501|-124.20763|8.0|0.0|90.0|0.0|Episensor|214748.352|1.0|M/S**2|100.0|2019-04-16T18:00:00|3000-01-01T00:00:00
NP|1581||HNN|40.73501|-124.20763|8.0|0.0|0.0|0.0|Episensor|214748.352|1.0|M/S**2|200.0|2019-04-16T18:00:00|3000-01-01T00:00:00
NP|1581|10|HNN|40.73501|-124.20763|8.0|0.0|0.0|0.0|Episensor|214748.352|1.0|M/S**2|100.0|2019-04-16T18:00:00|3000-01-01T00:00:00
NP|1581||HNZ|40.73501|-124.20763|8.0|0.0|0.0|-90.0|Episensor|214748.352|1.0|M/S**2|200.0|2019-04-16T18:00:00|3000-01-01T00:00:00
NP|1581|10|HNZ|40.73501|-124.20763|8.0|0.0|0.0|-90.0|Episensor|214748.352|1.0|M/S**2|100.0|2019-04-16T18:00:00|3000-01-01T00:00:00
NP|1582|01|HNE|40.69765|-124.19183|36.0|0.0|90.0|0.0|Episensor|214748.352|1.0|M/S**2|200.0|2018-10-19T18:00:00|3000-01-01T00:00:00
NP|1582|10|HNE|40.69765|-124.19183|36.0|0.0|90.0|0.0|Episensor|214748.352|1.0|M/S**2|100.0|2018-10-19T18:00:00|3000-01-01T00:00:00
NP|1582|01|HNN|40.69765|-124.19183|36.0|0.0|0.0|0.0|Episensor|214748.352|1.0|M/S**2|200.0|2018-10-19T18:00:00|3000-01-01T00:00:00
NP|1582|10|HNN|40.69765|-124.19183|36.0|0.0|0.0|0.0|Episensor|214748.352|1.0|M/S**2|100.0|2018-10-19T18:00:00|3000-01-01T00:00:00
NP|1582|01|HNZ|40.69765|-124.19183|36.0|0.0|0.0|-90.0|Episensor|214748.352|1.0|M/S**2|200.0|2018-10-19T18:00:00|3000-01-01T00:00:00
